OBJECTID,SourceOID,DiscoveryAcres,FireDiscoveryDateTime,IncidentName,x,y,POOCounty,POOState,UniqueFireIdentifier
178643,23828572,500.0,2022-04-10,Kid Rock,-97.6721,28.226879,Bee,US-TX,2022-TXTXS-222560
216385,1130435,500.0,2016-02-13,Ranch View,-101.947601,35.323002,Potter,US-TX,2016-TXAMD-000046
173381,6624401,500.0,2019-08-06,190 East,-101.1147222,30.9105556000001,Crockett,US-TX,2019-TXTXS-190161
42486,1981779,500.0,2016-11-14,Clinch Mountain,-82.16236,36.7805000000001,Washington,US-VA,2016-VAVAS-000293
335408,28055731,500.0,2023-09-09,Cedar Creek,-98.65373751,32.82978637,Stephens,US-TX,2023-TXTXS-234033
121723,23827564,500.0,2022-04-05,Red Rock,-100.9558333,33.1838889,Kent,US-TX,2022-TXTXS-222361
335500,28055823,500.0,2023-09-09,Wedge,-114.311017,43.241467,Blaine,US-ID,2023-IDTFD-000245
220038,20056400,500.0,2021-06-16,Crooked Creek,-108.4202,45.1844400000001,Carbon,US-MT,2021-MTBID-210154
16443,3392303,500.0,2017-08-04,HAYES ROAD,-119.502,47.9391200000001,Douglas,US-WA,2017-WAWFS-000331
295586,23875107,500.0,2023-02-02,Shubert Fire,-104.7333,35.89291,Mora,US-NM,2023-NMN4S-000017
109160,1473650,500.0,2016-07-15,Lobo Creek,-99.23716666,27.4898333300001,Webb,US-TX,2016-TXTXS-005014
221668,3803603,500.0,2018-01-22,Lazy J,-98.84883333,33.89916666,Wichita,US-TX,2018-TXTXS-000065
131352,3373828,500.0,2017-07-29,Rasberry,-99.88816666,34.0063333300001,Foard,US-TX,2017-TXTXS-001524
144400,10509184,500.0,2020-07-04,7D2,-101.1678,31.5915000000001,Sterling,US-TX,2020-TXTXS-200266
221219,2181941,500.0,2017-03-21,Baffim,-97.766,27.1525,Kenedy,US-TX,2017-TXTXS-005007
200089,3281239,500.0,2017-07-15,Cornucopia,-116.4487,41.557667,Elko,US-NV,2017-NVEKD-010221
170375,10969981,500.0,2020-07-14,Waldrop,-99.4229999999999,31.439333333,McCulloch,US-TX,2020-TXTXS-200294
74867,1193386,500.0,2016-04-04,Amorita,-98.164299,36.811699,Alfalfa,US-OK,2016-OKOKS-000357
151636,18277588,500.0,2021-01-14,Campbell,-98.664686,33.3570300000001,Young,US-TX,2021-TXTXS-210090
236958,3336510,500.0,2017-07-24,Black Point,-116.34552,41.6013300000001,Elko,US-NV,2017-NVNNS-010266
54608,3285658,500.0,2017-07-10,CAMBELL,-119.134,46.9454400000001,Grant,US-WA,2017-WAWFS-000206
301616,28021952,500.0,2023-04-02,COWLEY,-96.59798,36.94355,Osage,US-OK,2023-OKOSA-000738
158810,23857647,500.0,2022-08-29,Mudpath,-99.17319,32.83422,Shackelford,US-TX,2022-TXTXS-225041
324553,28044881,500.0,2023-07-25,Hay Draw,-105.2395,45.37882,Powder River,US-MT,2023-MTLG09-000151
89464,1602625,500.0,2016-08-18,WALKER CREEK,-105.1577778,42.8252778,Converse,US-WY,2016-WYCOX-016428
149285,960243,500.0,2015-08-27,Rocking Chair,-100.177,31.0969000000001,Tom Green,US-TX,2015-TXTXS-002022
49597,4946773,500.0,2018-08-09,Wheat - Dawson,-104.74,47.3627700000001,Dawson,US-MT,2018-MTLG16-000213
201652,7879180,500.0,2020-03-13,Windmill,-98.5988889,26.9680556000001,Jim Hogg,US-TX,2020-TXTXS-200075
299978,28020305,500.0,2023-03-21,TURKEY CREEK,-96.06042,36.13484,Tulsa,US-OK,2023-OKOSA-000599
149708,23825712,500.0,2022-03-24,Miller,-98.5830556,26.9805556,Jim Hogg,US-TX,2022-TXTXS-221984
301789,28022122,500.0,2023-03-31,HICKEY,-96.11937,36.903,Osage,US-OK,2023-OKOSA-000756
158388,6284782,500.0,2019-06-11,Bienville RX Burn Block 208,-89.2794499999999,32.15828,Jasper,US-MS,2019-MSMNF-000064
187713,3498634,500.0,2017-09-09,Cowboy,-110.77778,41.3877800000001,Uinta,US-WY,2017-WYUIX-000370
263512,1398083,500.0,2016-06-25,Blue Hill,-103.8662,35.6811700000001,Harding,US-NM,2016-NMN4S-000257
201919,6630775,500.0,2019-08-06,Pot Hole,-115.5239,42.77694,Owyhee,US-ID,2019-IDMHQ-000247
88637,1047245,500.0,2015-10-19,Fuller,-98.838,32.6650000000001,Stephens,US-TX,2015-TXTXS-001533
113889,16105188,500.0,2020-10-18,Luna,-105.3395,36.2642300000001,Taos,US-NM,2020-NMCAF-000631
50928,7277188,500.0,2019-07-30,FDH-MTLG12-97,-109.975167,48.480717,Hill,US-MT,2019-MTLG12-000097
88386,6720788,500.0,2019-08-20,Noelke,-100.8778333,31.364,Irion,US-TX,2019-TXTXS-190261
234640,803687,500.0,2015-06-22,Tagagawik River,-159.364,65.4993000000001,Yukon-Koyukuk,US-AK,2015-AKGAD-000525
274400,992297,500.0,2015-09-14,Hale,-99.7832,34.4092000000001,Hardeman,US-TX,2015-TXTXS-001512
114090,23333995,500.0,2022-02-11,River One,-97.50615,28.1886000000001,Refugio,US-TX,2022-TXTXS-220843
230965,849885,500.0,2015-07-11,Little Kokwok,-158.359727,59.553607,Dillingham,US-AK,2015-AKSWS-504727
53431,6071174,500.0,2019-04-26,Pacheco Rx BP,-105.8333,35.7982000000001,Santa Fe,US-NM,2019-NMSNF-000041
269757,23829070,500.0,2022-04-13,Side Oat,-101.903,33.133,Lynn,US-TX,2022-TXTXS-222655
148321,6821586,500.0,2019-09-06,Flat Top,-113.1113,42.9934400000001,Power,US-ID,2019-IDIFD-000191
132070,23836286,500.0,2022-05-30,Colten,-98.29231,27.1162,Brooks,US-TX,2022-TXTXS-223102
229365,6657978,500.0,2019-08-08,7D,-101.092833333,31.489333333,Irion,US-TX,2019-TXTXS-190182
244213,3267311,500.0,2017-07-09,Limbo,-119.3318,40.432983,Pershing,US-NV,2017-NVWID-020136
54307,4180771,500.0,2018-05-07,Billy Goat Lane LL,-92.850556,31.966667,Winn,US-LA,2018-LAKIF-000192
304380,28024718,500.0,2023-04-17,Rx Henderson 1584,-95.591703,32.100433,Henderson,US-TX,2023-TXTXS-231584
31505,5987978,500.0,2019-03-27,76 - Big Horn,-106.3937,45.04049,Big Horn,US-MT,2019-MTLG22-000025
90684,22665990,500.0,2021-12-10,Electra Complex,-98.92943152,34.0370345040001,Wichita,US-TX,2021-TXTXS-213509
132264,981912,500.0,2015-09-14,BARRY,-98.396,33.4958,Clay,US-TX,2015-TXTXS-001513
231398,5409569,500.0,2018-11-10,Mesa Vista,-100.83125,35.979833333,Roberts,US-TX,2018-TXTXS-181073
354942,28076275,500.0,2024-02-21,Rx Cass 0170,-94.3248,33.2307,Cass,US-TX,2024-TXTXS-240170
304032,28024364,500.0,2023-04-13,Haddam,-97.2972222,39.8280556,Washington,US-KS,2023-KSWSX-000379
147797,23826166,500.0,2022-03-27,Bosque River,-97.8183333,32.0019444,Bosque,US-TX,2022-TXTXS-222120
47469,2900588,500.0,2017-06-05,MILEPOST 142,-119.9715,46.9932900000001,Grant,US-WA,2017-WAWFS-000083
176049,2081106,500.0,2017-01-22,Hopper,-98.13666666,26.9823333300001,Brooks,US-TX,2017-TXTXS-005001
90181,3734347,500.0,2017-12-13,220,-97.94366666,32.1135,Erath,US-TX,2017-TXTXS-003046
324693,28045022,500.0,2023-07-25,War Horse,-108.551783,47.112883,Petroleum,US-MT,2023-MTCMR-000144
132350,20921995,500.0,2021-08-08,Richard Spring,-106.7639,45.80906,Rosebud,US-MT,2021-MTLG29-000428
112507,23387591,500.0,2022-02-15,OK 146,-87.04519,32.67152,Perry,US-AL,2022-ALALF-220108
148305,23851725,500.0,2022-08-03,Lower Goose,-118.0781,46.56492,Columbia,US-WA,2022-WASPD-000199
108547,16675588,500.0,2020-11-05,LESLIE GULCH ,-117.2223,43.33002,Malheur,US-OR,2020-ORVAD-000239
288794,9373181,500.0,2020-06-09,Yandy,-101.2512,35.5373500000001,Carson,US-TX,2020-TXTXS-200157
41672,3482601,500.0,2017-08-31,Alpha - Rosebud,-106.7183,45.7819400000001,Rosebud,US-MT,2017-MTLG29-000553
262808,1479581,500.0,2016-07-16,Soldier Hill,-103.6280556,33.2986111000001,Lea,US-NM,2016-NMN5S-000463
238918,1116827,500.0,2016-02-01,Powerline,-103.165001,31.405199,Ward,US-TX,2016-TXBBP-000021
19407,5947574,500.0,2019-04-12,Caddo Lake NWR 2,-94.1650999999999,32.686,Harrison,US-TX,2019-TXBAR-000173
228536,24988801,500.0,2022-06-28,WILLOW CREEK,-117.3864,44.16373,Malheur,US-OR,2022-ORVAD-220065
93973,845624,500.0,2015-07-05,Sethkokna 2,-153.512,63.8838000000001,Yukon-Koyukuk,US-AK,2015-AKTAD-000702
190040,23847778,500.0,2022-07-19,East County,-96.08333333,32.67166667,Kaufman,US-TX,2022-TXTXS-224070
66137,6011177,500.0,2019-04-22,D7 Rx Leonia,-116.0834,48.62467,Boundary,US-ID,2019-IDIPF-000036
143172,3838458,500.0,2018-02-10,GATE 13,-111.8406,35.1474900000001,Coconino,US-AZ,2018-AZA1S-000131
162665,22666789,500.0,2021-12-10,Twin Creek,-101.871421,35.6594170000001,Moore,US-TX,2021-TXTXS-213510
